"filename", "language", "XML", "Markdown", "C#", "Python", "JSON", "ShaderLab", "HLSL", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\DataPersistenceManager.cs", "C#", 0, 0, -62, 0, 0, 0, 0, -5, -14, -81
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\Data\GameData.cs", "C#", 0, 0, -38, 0, 0, 0, 0, -1, -4, -43
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\FileDataHandler.cs", "C#", 0, 0, -60, 0, 0, 0, 0, -3, -8, -71
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\IDataPersistence.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, -2, -10
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\SerializableTypes\SerializableDictionary.cs", "C#", 0, 0, -31, 0, 0, 0, 0, 0, -5, -36
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Input\InputActions.cs", "C#", 0, 0, -790, 0, 0, 0, 0, -14, -15, -819
"d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\.sample.json", "JSON", 0, 0, 0, 0, -5, 0, 0, 0, 0, -5
"d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\CameraStacking\3D Skybox\Scripts\SkyboxCamera.cs", "C#", 0, 0, -26, 0, 0, 0, 0, -2, -6, -34
"d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\LensFlares\Scripts\ScreenSpacePlacement.cs", "C#", 0, 0, -23, 0, 0, 0, 0, 0, -6, -29
"d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\RendererFeatures\KeepFrame\KeepFrameFeature.cs", "C#", 0, 0, -96, 0, 0, 0, 0, -6, -20, -122
"d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Scripts\AutoLoadPipelineAsset.cs", "C#", 0, 0, -51, 0, 0, 0, 0, 0, -7, -58
"d:\3. SAP\Moonweaver\Assets\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Scripts\FirstPersonController.cs", "C#", 0, 0, -71, 0, 0, 0, 0, 0, -14, -85
