Date : 2022-11-11 13:08:01
Directory : d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts
Total : 321 files,  -36928 codes, -3308 comments, -7331 blanks, all -47567 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| Markdown  |         10 |        -54 |          0 |        -37 |        -91 |
| Python    |          1 |        -71 |         -5 |        -22 |        -98 |
| XML       |          5 |        -72 |          0 |         -4 |        -76 |
| JSON      |          6 |       -275 |          0 |         -2 |       -277 |
| HLSL      |          4 |       -323 |        -21 |        -87 |       -431 |
| ShaderLab |         14 |     -2,032 |        -61 |       -559 |     -2,652 |
| C#        |        281 |    -34,101 |     -3,221 |     -6,620 |    -43,942 |
+-----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        321 |    -36,928 |     -3,308 |     -7,331 |    -47,567 |
| ..                                                                                                                           |        321 |    -36,928 |     -3,308 |     -7,331 |    -47,567 |
| ..\..                                                                                                                        |        315 |    -35,939 |     -3,285 |     -7,283 |    -46,507 |
| ..\..\..                                                                                                                     |          5 |        -60 |          0 |         -7 |        -67 |
| ..\..\..\Moonweaver_WwiseProject                                                                                             |          4 |        -54 |          0 |         -4 |        -58 |
| ..\..\..\Moonweaver_WwiseProject\GeneratedSoundBanks                                                                         |          4 |        -54 |          0 |         -4 |        -58 |
| ..\..\..\Moonweaver_WwiseProject\GeneratedSoundBanks\Mac                                                                     |          2 |        -27 |          0 |         -2 |        -29 |
| ..\..\..\Moonweaver_WwiseProject\GeneratedSoundBanks\Windows                                                                 |          2 |        -27 |          0 |         -2 |        -29 |
| ..\..\Samples                                                                                                                |          7 |       -289 |         -8 |        -55 |       -352 |
| ..\..\Samples\Universal RP                                                                                                   |          7 |       -289 |         -8 |        -55 |       -352 |
| ..\..\Samples\Universal RP\12.1.7                                                                                            |          7 |       -289 |         -8 |        -55 |       -352 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples                                                                        |          7 |       -289 |         -8 |        -55 |       -352 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\CameraStacking                                                         |          1 |        -26 |         -2 |         -6 |        -34 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\CameraStacking\3D Skybox                                               |          1 |        -26 |         -2 |         -6 |        -34 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\CameraStacking\3D Skybox\Scripts                                       |          1 |        -26 |         -2 |         -6 |        -34 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\LensFlares                                                             |          1 |        -23 |          0 |         -6 |        -29 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\LensFlares\Scripts                                                     |          1 |        -23 |          0 |         -6 |        -29 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\RendererFeatures                                                       |          1 |        -96 |         -6 |        -20 |       -122 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\RendererFeatures\KeepFrame                                             |          1 |        -96 |         -6 |        -20 |       -122 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets                                                           |          3 |       -139 |          0 |        -23 |       -162 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Scripts                                                   |          2 |       -122 |          0 |        -21 |       -143 |
| ..\..\Samples\Universal RP\12.1.7\URP Package Samples\SharedAssets\Shaders                                                   |          1 |        -17 |          0 |         -2 |        -19 |
| ..\..\TextMesh Pro                                                                                                           |         18 |     -2,493 |        -82 |       -646 |     -3,221 |
| ..\..\TextMesh Pro\Shaders                                                                                                   |         17 |     -2,338 |        -82 |       -644 |     -3,064 |
| ..\..\TextMesh Pro\Sprites                                                                                                   |          1 |       -155 |          0 |         -2 |       -157 |
| ..\..\Wwise                                                                                                                  |        284 |    -33,079 |     -3,195 |     -6,575 |    -42,849 |
| ..\..\Wwise\API                                                                                                              |        191 |    -24,672 |     -2,352 |     -4,751 |    -31,775 |
| ..\..\Wwise\API\Editor                                                                                                       |         26 |     -5,441 |       -180 |       -952 |     -6,573 |
| ..\..\Wwise\API\Editor\WwiseMenu                                                                                             |          5 |       -492 |        -15 |        -95 |       -602 |
| ..\..\Wwise\API\Editor\WwiseMenu\Common                                                                                      |          3 |       -468 |        -15 |        -93 |       -576 |
| ..\..\Wwise\API\Editor\WwiseMenu\Mac                                                                                         |          1 |        -12 |          0 |         -1 |        -13 |
| ..\..\Wwise\API\Editor\WwiseMenu\Windows                                                                                     |          1 |        -12 |          0 |         -1 |        -13 |
| ..\..\Wwise\API\Editor\WwiseTypes                                                                                            |          9 |       -156 |         -8 |        -30 |       -194 |
| ..\..\Wwise\API\Editor\WwiseWindows                                                                                          |         11 |     -3,835 |       -138 |       -668 |     -4,641 |
| ..\..\Wwise\API\Runtime                                                                                                      |        161 |    -19,196 |     -2,172 |     -3,789 |    -25,157 |
