"filename", "language", "XML", "C#", "Markdown", "Log", "JSON", "Python", "ShaderLab", "HLSL", "HTML", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\DataPersistenceManager.cs", "C#", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"d:\3. SAP\Moonweaver\Assets\+++Workdata\DataPersistence\Data\GameData.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossBehaviour.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossCombatBehaviour.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 2, 20
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossInfos.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 2, 23
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\BossSpawner.cs", "C#", 0, 69, 0, 0, 0, 0, 0, 0, 0, 10, 12, 91
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Bosses\Spikes\SpikeBehaviour.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Companion\CompanionBehaviour.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemyBehaviour.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemyCombatBehaviour.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, -1, 8
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemyInfos.cs", "C#", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, -5, -27
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\ShrineBehaviour.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\ShrineManager.cs", "C#", 0, 57, 0, 0, 0, 0, 0, 0, 0, 34, 9, 100
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MainMenu\MenuButtons.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MoonFragments\DroppedMoonlightBehaviour.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\MoonFragments\MoonFragmentBehaviour.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 13, 3, 34
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerCombat.cs", "C#", 0, -19, 0, 0, 0, 0, 0, 0, 0, -4, -1, -24
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerController.cs", "C#", 0, -16, 0, 0, 0, 0, 0, 0, 0, 8, -6, -14
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerDefeatedBosses.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerDropMoonlight.cs", "C#", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerInfos.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 3, 41
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerInteract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerMeleeWeaponBehaviour.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerRangedWeaponBehaviour.cs", "C#", 0, -32, 0, 0, 0, 0, 0, 0, 0, -25, -11, -68
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerSittingBehaviour.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\Projectile\ProjectileBehaviour.cs", "C#", 0, -40, 0, 0, 0, 0, 0, 0, 0, -22, -10, -72
